run_id,source_file,experiment_label,problem_id,base_function,seed,fe_used,budget_match_status,historical_final_error,paper_reported_mean,paper_reported_std,better_than_paper_reported,offline_error_delta_vs_paper,runtime_dispatch_allowed,comparison_role
exp_004_hcc_main_historical_result_recovery,E:\HCC-main\HCC_SRC\result\mi_arac_action_clean_hcc_anchor_5seed\seed-3\E4\elliptic\evaluation_record.txt,mi_arac_action_clean_hcc_anchor_5seed,E4,elliptic,3,3000000,near_paper_3m_fe,2.517943e+07,2.26E7,3.04E5,0,2.579435e+06,0,offline_historical_hcc_main_vs_paper_reported
exp_004_hcc_main_historical_result_recovery,E:\HCC-main\HCC_SRC\result\mi_arac_action_clean_hcc_anchor_5seed\seed-4\A1\ackley\evaluation_record.txt,mi_arac_action_clean_hcc_anchor_5seed,A1,ackley,4,3001000,near_paper_3m_fe,7.865224e+04,7.76E4,1.25E1,0,1.052239e+03,0,offline_historical_hcc_main_vs_paper_reported
exp_004_hcc_main_historical_result_recovery,E:\HCC-main\HCC_SRC\result\mi_arac_action_clean_hcc_anchor_5seed\seed-4\A2\ackley\evaluation_record.txt,mi_arac_action_clean_hcc_anchor_5seed,A2,ackley,4,3001000,near_paper_3m_fe,7.854028e+04,7.81E4,9.78E0,0,4.402832e+02,0,offline_historical_hcc_main_vs_paper_reported
exp_004_hcc_main_historical_result_recovery,E:\HCC-main\HCC_SRC\result\mi_arac_action_clean_hcc_anchor_5seed\seed-4\A3\ackley\evaluation_record.txt,mi_arac_action_clean_hcc_anchor_5seed,A3,ackley,4,3001000,near_paper_3m_fe,7.836237e+04,7.86E4,2.09E1,1,-2.376350e+02,0,offline_historical_hcc_main_vs_paper_reported
exp_004_hcc_main_historical_result_recovery,E:\HCC-main\HCC_SRC\result\mi_arac_action_clean_hcc_anchor_5seed\seed-4\A4\ackley\evaluation_record.txt,mi_arac_action_clean_hcc_anchor_5seed,A4,ackley,4,3001000,near_paper_3m_fe,7.867803e+04,7.83E4,1.14E1,0,3.780335e+02,0,offline_historical_hcc_main_vs_paper_reported
exp_004_hcc_main_historical_result_recovery,E:\HCC-main\HCC_SRC\result\mi_arac_action_clean_hcc_anchor_5seed\seed-4\A5\ackley\evaluation_record.txt,mi_arac_action_clean_hcc_anchor_5seed,A5,ackley,4,3001000,near_paper_3m_fe,7.825517e+04,7.85E4,2.35E1,1,-2.448313e+02,0,offline_historical_hcc_main_vs_paper_reported
exp_004_hcc_main_historical_result_recovery,E:\HCC-main\HCC_SRC\result\mi_arac_action_clean_hcc_anchor_5seed\seed-4\A6\ackley\evaluation_record.txt,mi_arac_action_clean_hcc_anchor_5seed,A6,ackley,4,3001000,near_paper_3m_fe,7.882266e+04,7.80E4,7.06E0,0,8.226615e+02,0,offline_historical_hcc_main_vs_paper_reported
exp_004_hcc_main_historical_result_recovery,E:\HCC-main\HCC_SRC\result\mi_arac_action_clean_hcc_anchor_5seed\seed-4\E1\elliptic\evaluation_record.txt,mi_arac_action_clean_hcc_anchor_5seed,E1,elliptic,4,3000000,near_paper_3m_fe,2.672356e+05,2.84E6,2.35E5,1,-2.572764e+06,0,offline_historical_hcc_main_vs_paper_reported
exp_004_hcc_main_historical_result_recovery,E:\HCC-main\HCC_SRC\result\mi_arac_action_clean_hcc_anchor_5seed\seed-4\E2\elliptic\evaluation_record.txt,mi_arac_action_clean_hcc_anchor_5seed,E2,elliptic,4,3000000,near_paper_3m_fe,6.957548e+06,6.87E6,4.73E4,0,8.754803e+04,0,offline_historical_hcc_main_vs_paper_reported
exp_004_hcc_main_historical_result_recovery,E:\HCC-main\HCC_SRC\result\mi_arac_action_clean_hcc_anchor_5seed\seed-4\E3\elliptic\evaluation_record.txt,mi_arac_action_clean_hcc_anchor_5seed,E3,elliptic,4,3000000,near_paper_3m_fe,9.675348e+06,1.60E7,5.62E5,1,-6.324652e+06,0,offline_historical_hcc_main_vs_paper_reported
