case_id,run_seed,selected_action,phase1_fes,terminal_fes,final_error,elapsed_seconds,checkpoint_hash,action_result_hash,receipt_hash
S5,20260746,smp,180000,3000000,12444.642819352308,2417.265312,c0351b1e57baf9ca90846ee87b6ed43c0a762d55f80a098be73a30c35f832411,b38b9e1d5374997e0c4010c2d9d9aa3de0c43046c4cde63c665400515dfffcd8,7af1ad10acb4b310a523dcd2aceb81a696d69d4c2b5bb0cf4b5d5835f442b339
S6,20260746,smp,180000,3000000,11646.039536274013,2388.359822,e11209cd02e15a9ba25c2986ccf4b146e0c45ab414bdc03846a8734e6c5272fb,cf3e5dda8adeea0a59864e8c1ba05dcd2be808cb6722b762c08f821cfd1ff7a3,0da760ac05cff4ae0c09ec588a8f944e73fe9531bf85bdf47ca5d73ef29dd01d
A1,20260747,aor,180000,3000000,78127.02914057832,1008.896177,28bc404d38c08df6b8c6a23d244d474691b9f457e8964600f02e607f593399ec,644fcfd9500ceb4e353ac1dc5ae3ac47042451415477789a52241a88f0a200ba,ae5ad8eaf44fd48278a38f03c6e32666ebbfe265e19f45ec010784658954c354
A2,20260747,gcb,180000,3000000,78103.95880242408,1180.026603,a18946f97051f597e37999a51356c1ba4f157ee6710b255c6a0f943764a08477,16aed54b4727c6b9bc16d52b668269887bd97e7d9ef676c704cea8ce3ab40a34,7cfc0f64da8f335d3f1e4c362475a64dcf6299b917f6e9e1433d7fd6aafcb020
A3,20260747,aor,180000,3000000,78043.4395536534,1043.76194,a93ba9e57b0e2d25d04f9a7fa1051d16eb9fb6e683b0dd4aac5296d64663bf85,95ade1728353bcaa8c08df050dc0d36df6a185ace9867eafb1778dc5d7b21177,cb60d686f6d74364f6660483c3b34e502ce511a75338c9cb100b28a2fac4a452
A4,20260747,aor,180000,3000000,78311.96372087553,1069.128267,87baa856ee77c9eb5e11d8a2016fd4305e36394cf5a35b59a4247f76ed3ce6da,872a22545ceab21ab75016b21eb2fe4669930ad80d0657b44cf243903b180fdd,67f62a1bb7ceb745f4b132186aff7462724fdb5d81caad71d4294a031d6af212
A5,20260747,aor,180000,3000000,78458.81832032271,1084.052629,07e3d9504be411d22ca4290f33c79a44a2628e0f5f33cbe0f507bf74a666869e,33891b7c6fbd5d1e3e6e91d7516888943708c165fc95bb5dba9651526d9b6f70,a7555f9d82859a77ce7eb034f97a77b0717f1199e3559506b3908fe61c73c937
A6,20260747,gcb,180000,3000000,78221.45317978886,1269.592426,cf8cddef95b8afc570047708ba7e9fa31a57d158277d31290d52d66e6a0f8d3a,67d20635ed3bbeeb8b43ceef90d3d4af9b422c61532c00757462ce6d9c88a8c0,a0b5914cafdb35f8e5d06ad4540b4c81890619401612ad1c48096db463f45ef9
E1,20260747,smp,180000,3000000,405432.4365395607,1737.804778,d24f20e4bbd2d18ff90e35cc215070dcb6fdf87f9dd534fc11db408e4e540ea8,40b4e58f9ec92ad6b296f4f0bbc477a77935df6e4c606ce554da6fe19bb1ba3f,2a38c85c33f7c6103ecf7922631d569972d88c1a91f67c0a55aae6e05246b0e2
E2,20260747,ctp,180000,3000000,12709175.558997486,959.905913,324052ee648699feb43b29a37f80acf997c11e605745cc38c8ad4cca61bb5ace,21acee462facbce95d467b61f1b613a3492116cfc1769810f4c7e997ce12c78e,45ec47233a2165b869c82a0254f65fee4beef57d7d0795d6eb4e6390cc661f6e
E3,20260747,ctp,180000,3000000,14905320.502050022,980.77814,be4cac79b0e716cb43a67c98ecf7bc74ff4a2fc04b4d59205240d829bb10d531,db373f547d5d972d5aeaaa43ef9512aafb5337c7f83222e92a95bd6386061d4c,171e4e80ea17b032411a988b19636b7ad28c23da098da20fcca66601f7fd91e2
E4,20260747,ctp,180000,3000000,11561788.674197452,995.112658,af02ac0a507f46c4d006ee703aa7bab22e3ec235b55e9d6ce44f1262c2b996d7,fea820cff280b0dbe3711e80a9332c37f10c51093d614c1ea74c9a15fb8c05ef,07666058507a7481d3a145d7cdf59380116271f8ade13e60949cba6ee2627697
E5,20260747,ctp,180000,3000000,14839474.622085523,1011.333704,a3088bd0f5021ef40b6a19608548c370539255e92aefdbb0fea5a7e14a63c180,2993cca8ecb9cc5e50b8c9af93e2457885cfd476770762698e2ba1a36f8425be,248504708845eb757275a7340b72d2737cd5068001c423b1aaa14f7cc66436a1
E6,20260747,ctp,180000,3000000,11617693.197341435,1040.397939,b0954a28099d87e4d040db661b37484f3b4d24fedb37d1fba46c7c6d6792b389,47a14d2c55fbe49728806c7e26a5e3fbb00529977ca1874b0485ceeebeaaed56,10096c51c288a9cba2ccc1e1bc9d53900b9ef6195172210e9ef0d272bd43c800
R1,20260747,smp,180000,3000000,358547.732932236,1684.747246,90d34553b9fdbb69029c234e9675991a4f9f65a267bd8af35fa9e5c23202f314,6fe00e952c73787295b2620b3f4756cbd06dc120e16f0ace125783d8a2c1a22b,1d468cdb73317de8c9e55b141cc70296401f917a8a5fdbef83afea4deab726f9
R2,20260747,smp,180000,3000000,938640.5134273989,2435.368638,2a39dbfc614674941ed9514f2dac83cede8fbb93f29aa94bc76ea789a7557aab,ecaa392145dca2e0bdb4645e9852f351967f277e2780a7277837ff6dc0951aa2,51fe0880ed62fdede5f208853a5d8117a92ef686583ed2f6cd98f48c77772518
R3,20260747,smp,180000,3000000,1437148.8908244562,2398.874816,aef94d5c3a66ad55ec3a13363dfb95f1bfc6980f822089a8c4ae9a6f3a973fce,0f61a76922e59cf748f3ad8a8f8558ffa6d3bb60f307f6b086749df34530f744,ea211028c5b9c6d173e1c82afed673a13fc2743a1f3259ac398f297a95709734
R4,20260747,gcb,180000,3000000,333916.34161622444,1114.331732,a2dfc637650aae40fcfe47323c9cbbb6775432795d63dae01b85dce368ef92be,f1edb4fe4eaae29bb28bc72c08c63a047dce4c5aef21623c9414c28bf9301bc4,e12226e0e45e43fea3c36b00e44dee6c868d27b7a400a26d7ad7baa9aa5523eb
R5,20260747,aor,180000,3000000,393807.676059223,982.911341,544388ea34611e9ddf40a47f526509c2252f59f0ecd2bada25ae62534eaf4e59,ea48937c006bf2e68a589a3d9cc79d7238b74f39bc9f0b901e27e296b136d30a,debf4db260ca866484a817279c4861b79392d24616e76bdbe314cc206cc7a3ac
R6,20260747,gcb,180000,3000000,473780.61416574015,1187.533068,4124f6151cf4834d2b9aabe7f842edc471f12c9e9572ae845805581f1b1379d3,5b86a4713f4bd7764b0b002de266047862983604351c2b21297d00fdaf2c25b8,270ae47d1bdcb140e36aeae047b969457cbb22a9eb6ea15a5702c217edc552b8
S1,20260747,smp,180000,3000000,1100.9963725801006,1716.950685,e7cad8a2a565684d288af3a5ad9ba6541425020ad40aa4c2f071c7c50b54176e,cff435237412cf17153c151ee141339c0c554583204a27b947197a130681fc7d,77d99377a423134c52070a14a1c1dd45fb2220ebde9fbde99d2d924e10b8666e
S2,20260747,smp,180000,3000000,10556.253575201228,2482.122195,b321960cd17aa765facc94fea6fd48b08c50dce658f62cc7414920729e5966a3,615c047be3e540473b342806724f3e01ee8db42c7c58cf74315e2f4241889565,f227ca47c9ca61f9cfe0292cd46c6407e705d7eed14fca66f8457624e0fcd101
