case_id,run_seed,action_name,phase1_fes,terminal_fes,final_error,checkpoint_hash,action_result_hash,receipt_hash
S1,118,ctp,180000,3000000,2.8208699534083564e-07,c868591de8652b4a1e616331694e317f676a01a9088e40e7dedcca629d78f4ed,2f0fc23726f2f383ceef433b17ed6cdc1ae90896f56fee7a891532257f0656a8,986b4f8a354d8339408a529178797119d5ffa81439f88818281ff9767df9cda5
S2,118,ctp,180000,3000000,291.24953073897683,adaea72a809820b60e9c5cf9d6b7033f53cd2c2b73302633b700b8817184ddb7,de2f6b8b8b8e9b67a2d4600606c8ae92dbb88b24eeebc4a27ee2b2a9984e9bdd,d6dfc982db8ceadada61ade162fc0ac0509b59897c61af2cdd6c17d0f1d758ce
S3,118,ctp,180000,3000000,7599.525695024604,867f6ba0346a2153d4f86343f228bd1180d66b026bdb4e687c696e63b90b1c7e,631bacf206bebc94e24184de0b2412580b728fc527f42edb161d3dea5b771ef6,3681f347b9cc79771682e33a32304113c5f248129f9b930a2e0f5e87e5cd7d6e
S4,118,ctp,180000,3000000,10036.634252738315,ac626d65c7bd9255a0d262e10782c8f276f30d49c6063c7cead803c86f12ab52,c46d9e4821e08a39b0e3d5a10f9c7d2bbdf05846dda331d9845fb665a04e3e85,6f02bea59a19fa4c7c4939d44afc91d9c47d6b35969dd0519b5ca2173e22d1ba
S5,118,ctp,180000,3000000,27393.810258026868,ca15135d41742e7c0be871b273d0d7bdf3ced85a38525ac9b6f583d4c5aff2f3,03f10c73002a13e89f80240a47d9ffd483adbadd81641e1a87a58524919d3a88,9aa4bfc0dbf0c77533d38cf3bfe8cbd02df2345c584e669c8e7b44430cf108b7
S6,118,ctp,180000,3000000,31076.832522641173,51a3100f41b499f5cb442e61dae2286cc60f232516a6dbfb722245859d6072ff,1f3b61c9be024631e70d2813de1d3066a076fea488e8c1b5bbd14ee284dc6b6e,b7dc2779d9d5a37453f4e5edc84ac49dd40803deab91ef80922ae01d61c5cd4d
A1,119,aor,180000,3000000,77911.16724424933,3e4ac003a74913dddb252f9f296969c4c791842f7de94e8679e996fe6b79c636,541d475fb9d1d383dd0f7241a42593df74fc06e839d4426491435f400695d37c,5dddeb788df45574f782bad1c79b49954db231127ef713aa30e9c016bfac6b02
A2,119,aor,180000,3000000,77977.9972501707,1890eee2d7996a96c52b8d20686456f24cd90c299ead2bee05a8552b437b430f,27e60c9caeeda50d5a80cec995d4be3dd37762ab6d65c2c39adc5c8e133e4b21,fb3e6677c59d302f07935a578675e1de2027521d252d925989876bae013b22a2
A3,119,aor,180000,3000000,78064.96016311487,5552fe00d4973ce5052c1acfa019f5bdcda06a3fe637f8dc6c814a62fff83c2b,847ff3d6a3c47bea6556e423d9fcd461098dd35a99d65fbbbe9f1cd8dd9ca83e,952a80023bc44e16395ed4eeda189039fce7938632f07c873d8c763b7ef137f1
A4,119,aor,180000,3000000,78217.38869348331,35f9b05d083fc09693d84400f5149a6d2053f0b935edb1e4cd33436e9171c24e,b356e77abfbd16d0cab7aa61381ab9e0e39c4c106c3f61b7608843bf2fee3924,5a699e2c035c68882809c676d3ad0b6e5a87bea02ad4714faff511819e5c7836
A5,119,aor,180000,3000000,78499.47730036068,7102cf227641313aef5246f84218ea086c098d84aec55b4dbf1018328be0f7dd,08caa7b98ff3a8627c421f31ce12f099fce76671b0d5c59247922c9c3f5c9187,bb29d33362878b1b82a7f992b7e5073367942de2801cb686ff53737aabfe3208
A6,119,aor,180000,3000000,78080.9438461207,58d544404bd0f3238153f7040b38e93d26332a710cbe115a0ac72b877d4e85c1,3e687283797c938a2ce1c16acd7fd421d3047e5f9047cfa2286821afd77e64e3,e3b171e05e47d64ebb0283403dd67ba91c4d52255d90b2ce61931f230acd568e
E1,119,smp,180000,3000000,340044.6402329883,81aa34b372ce6c20b8a824103a1a605865098dcb9c48bd21440bd487097c2e2f,32c0e0d43e8fa9b3a597d3a8be79408cbb27a5ea619d76f3205ec39f1387ed7b,5fc67ecedc97bde7c1f6f3d2a795716ba79ac1071c08b4b73b60cd4260d033fc
E2,119,smp,180000,3000000,1984690.7902589198,1ff82a02f66432fbe5761e0e1a111ab64153ea281d60a6caa54efe9716d8236c,97b5e30112998ebbe3e1f06df37a80adda49ac99798ab32e58e969663753b24a,39f4eb416cdb6ed3b2fcf529f3cd2a67c4e5cbd59152b4952e2424e6cf761e59
E3,119,smp,180000,3000000,6685861.306487752,308fd2c3fe09097ad70aecac095e0c199dbe3a8fe3cd42ce2d702c32b22030a3,7355491a848babf61bdedff0bc437897cfad10bf4142e7dc20555f5c4234e818,8a1bed381069b916853e20dbaf807e055a1d8d8bac88347ebcfcd21f13b1704a
E4,119,smp,180000,3000000,7284564.244920957,c398f8a7ec5766f691409993b8b4b00b853640e09e9a77b1da99a56318596661,e465a4b5ca715cae86c086e6da13b45eaa7d0473a4ae67dd82648fdb5f65fe31,c74f16a7901914814a761dc22ba12e581970c24723d65f2ef2456cc091f0e231
E5,119,smp,180000,3000000,9233032.092939828,e87e9d8014bf259f2f7293b9886b05a304835a0edd7d311adc6a2669fa3019ba,5a43c33fa728e8a6c16fb8779787dda4b907ba34cb4851c0f90fa9fbafbc60be,7ad362194363451763c3e2115b493011d906570e4c4177c59ad324e43b3b18ff
E6,119,smp,180000,3000000,11761228.861474369,fb4f18f0b6ebe836453fccc5b8fa96c9e2a2c387dcf23300ed71445df26d66bb,ab7790b369dd26801cd624b6553fe7e266321039b9095e5903a3d69ee8257615,fb7be0d75d26d2ba1b0b45db35b893d6f83d76f8454d2fea5c835885dfde3f03
R1,119,gcb,180000,3000000,168634.40198399246,657ccdd14266fbff81f63a612648ad499ff0de1a80fca6211ad40fc725c103a6,c97899a77c759cb9a586944f72e589b586c03be6c742b2f74ec6b3125b6fd46b,dd63ec6cb9c293dd0352a70f0c6ab0d7744a2974f32a8aa8c8c430785b12ee91
R2,119,gcb,180000,3000000,208070.81611579782,b874cdf052771dad8982aa564284f263b012d87f7e32aa9b85256a4a980f0571,a9fcf170a535547bd628a996bb30967ec2aff1f3ab1c36991d0286d8c1e332fa,48db04da36a14f03d5a6c5fa9e3270d21e12b7171c5f06d7542505c1a200c9d1
R3,119,gcb,180000,3000000,211031.53820040662,0d277db2582327e3f301a17ae29a5cc77f3c761d7210e6f9e01ffebc4f1798f6,b267c753a13f90ac13f8ce592f1b949c3443206a9cb277f3121392d3d35956d1,f8f9503d10f7e2f6db0c652cd5b46f534ed8a1a1cd0bdbd9384bc33d4bdd5602
R4,119,gcb,180000,3000000,287359.6269155252,f5c6c5eebeac09b845f68bc34eec7ff77fbfae5aabd57ba1913fb0726f018ab1,0d37a81102c901fe91d1d1994bd4856170fd5aa3fdc22dcb3459331b34fc1ed3,e41914ae079b70d909a29f09ab2bd61cf161b802da2d820704972c10811a245a
R5,119,gcb,180000,3000000,340105.26584850193,50f126408f0a3333f072790bbec34a0ceca56c2a9fcc84c3d73a8f1c8c5bc945,1ee8faa157eed1e0542ca556d6de3b734359cb59b64b12dd8ef6214f4ab3631d,6c3d6dbdae83b0524c7fe2e2a2cf4760258166917031811bc6950a6e58b45d5e
R6,119,gcb,180000,3000000,284294.37061763176,69c2375da6d83adeab3a4d2349af7b85aff374ee25bc358e3440629d90481fb5,e77112a68a3ab2be26fd93837e960ff5ef018518c489d2c5f243a28e39719af2,e3d5792bd08f6791925f641f9d1bc2ee0ed7cf74320f495864bb933003200141
S1,119,ctp,180000,3000000,2.580041457308578e-07,ec2e328035a09b05f687da23be0a7cd19ef6594c046eb739179c7ff42786b6ff,c1f7b01cec7c1fdfa80ff8d4999508d4e86dbedb9dfc0c440e69e58b41ccd6dd,3332fcbc011fbfeb0dfc8bbaf74b8fe4feaa8b4370f9395fa00fe597d5e2623f
S2,119,ctp,180000,3000000,184.74694889378134,307a410f1b248bcaf81d0b5ff0c254e05d05ad876ecff9763a82c061215b76c1,7fcd6364b35777af48a287ab1b66d21dfbf657d90970764ee347d4525d446db6,5af2890b7ee43b9ea77b5ef4408259383d53c27f9d2e2be5ab387cb4be66a173
S3,119,ctp,180000,3000000,4318.507690073645,fa178f60cf3a124bf3d7d3d75d545251402bc9fe10e921cfb208715570c93708,6a5ab9cccb6779a65d48b6538e0912b7df53c0bbed6859248203ca8e4e74864d,3b58b3c0004971fbd3ec8feec21029232795e8a0d261d2355ce6ced9b53d32dc
S4,119,ctp,180000,3000000,5813.179211030734,144d1cd04b6fc59e256d8f9e755d26f6dfebdd6dd5bd8ece3d0ff69a1403594b,c82494c7301dd903006498c2ccb6cee9143748f4c85f2cd9fe03f33e8eadc100,59b7673598f315b15eee683a09181e55ac027c24d574f618c34083d4cee3c05f
S5,119,ctp,180000,3000000,11729.018569471438,c38629af03d5ee7ef26d3b7c21ecd382094cc02bef587d3ade38c83b40779a93,894093326a046018b3470c93d896994c3f934c6726688bdc41258fd69517eaf3,18b60321d7d270048af556fd23b6552061aa8f550aae58d6c4111a122b48cedc
S6,119,ctp,180000,3000000,10978.345146543963,408a68954eb81f02e3eb672fc671d3ec814f46f10b61e46796aa630abc2c1154,06fcd0b1118452e6408445683675c7d0472b811bf4464a4be03bf139208f0086,35f6943762cd5c331f96268a1e930cfd8f7af8f15fc4dd360e3c9ca7fb3fb44e
A1,120,aor,180000,3000000,77884.09416659456,6eb77ded66ba391a14dca45cb32152428580bbc03b60a5e1126762fc1f22f687,91c2d0e9cf0a70e1d4a28a2bef33ac202482e11c13c503a565a38092c0791651,987805220d419a0e56c2457a5a5ed6f20f6cf7fb8d9aedaa02e1555e19c54e21
A2,120,aor,180000,3000000,78220.89458445614,0b2cf3737dfea026ed42859c6d03c066407637ed70c1fca33513d51acf033331,560d0cac9074b5b51e15b1b8d4142761daadc19784ce93c88c4c84e4ecf98c28,0f8381e5b321c4c903bb5e226174b5b58469ac14e422757b9f843d963949fe82
